1606780800000,655.35,820.00,649.06,785.31,29883938,1609459199999,400067.77359413,248780,13841499,185660.57576528,0
1608884640000,655.35,655.71,652.00,652.58,1934,1608884699999,29.59976511,32,520,7.96761402,0
1608884700000,652.41,654.41,652.20,654.41,1102,1608884759999,16.87075457,32,1081,16.54900392,0
1608884760000,653.53,655.71,653.53,655.09,773,1608884819999,11.80258620,15,758,11.57321991,0
1608884820000,655.55,656.87,655.55,656.17,652,1608884879999,9.93109219,9,8,0.12189970,0
1608884880000,655.48,655.69,654.28,655.69,561,1608884939999,8.55850973,10,539,8.22268346,0
1608884940000,656.05,657.56,656.05,657.49,49,1608884999999,0.74568812,7,23,0.34981474,0
1608885000000,657.78,659.18,657.78,658.77,912,1608885059999,13.85174560,20,20,0.30365264,0
1608885060000,658.77,660.13,657.21,657.21,1617,1608885119999,24.54080144,35,1017,15.42437675,0
1608885120000,656.89,657.27,656.72,657.21,35,1608885179999,0.53277691,7,28,0.42625632,0
1608885180000,657.49,657.71,656.55,656.79,451,1608885239999,6.86781813,10,20,0.30439690,0
1608885240000,656.78,656.78,655.50,655.50,15,1608885299999,0.22860613,5,12,0.18288140,0
1608885300000,655.10,655.10,653.08,653.36,109,1608885359999,1.66570375,9,11,0.16820431,0
1608885360000,653.29,654.13,652.98,653.48,1587,1608885419999,24.28653063,14,215,3.29013756,0
1608885420000,653.17,653.41,652.50,652.50,941,1608885479999,14.41403901,106,322,4.92920015,0
1608885480000,653.57,653.76,651.84,652.92,971,1608885539999,14.87163818,14,535,8.18452026,0
1608885540000,652.87,652.87,652.63,652.85,32,1608885599999,0.49020219,7,5,0.07660018,0
1608885600000,652.85,652.85,652.85,652.85,0,1608885659999,0.00000000,0,0,0.00000000,0
1608885660000,653.00,655.24,653.00,655.11,3899,1608885719999,59.58923696,25,726,11.08708338,0
1608885720000,655.16,655.21,655.00,655.00,1689,1608885779999,25.78621900,40,6,0.09157369,0
1608885780000,654.33,658.64,654.33,658.31,2310,1608885839999,35.16840272,31,2213,33.69423222,0
1608885840000,658.40,658.68,658.40,658.68,80,1608885899999,1.21494944,14,7,0.10629321,0
1608885900000,658.68,669.00,658.68,664.25,3949,1608885959999,59.38026880,61,2340,35.15341474,0
